id,label,degree,weighted degree,betweenness,modularity class,pagerank,eigencentrality,short label,modularity_class,top label
Addam-Marbrand,Addam Marbrand,2,9,0,6,0.001835878,0.055990484,Addam Marbrand,2,
Aegon-I-Targaryen,Aegon I Targaryen,2,9,0,1,0.001983185,0.062355738,Aegon I,3,
Aemon-Targaryen-(Maester-Aemon),Aemon Targaryen (Maester Aemon),7,74,186.5833333,3,0.006146463,0.062871578,Aemon,6,Aemon
Aerys-II-Targaryen,Aerys II Targaryen,6,37,8.288293651,5,0.004506793,0.163235722,Aerys II,4,
Aggo,Aggo,6,36,1.25,1,0.00465474,0.033550529,Aggo,3,
Albett,Albett,3,11,0,3,0.002760098,0.038700509,Albett,6,
Alliser-Thorne,Alliser Thorne,10,80,86.48439879,3,0.007408492,0.11198402,Alliser Thorne,6,
Alyn,Alyn,5,32,5.41219451,5,0.003627313,0.135506252,Alyn,4,
Arthur-Dayne,Arthur Dayne,1,4,0,5,0.001733895,0.005887565,Arthur Dayne,4,
Arya-Stark,Arya Stark,27,430,301.0064553,4,0.015630466,0.595180393,Arya,0,Arya
Arys-Oakheart,Arys Oakheart,1,3,0,5,0.001285829,0.035239278,Arys Oakheart,4,
Balon-Greyjoy,Balon Greyjoy,2,7,0,5,0.001895021,0.096750147,Balon Greyjoy,4,
Balon-Swann,Balon Swann,2,6,0,4,0.001787348,0.046602143,Balon Swann,0,
Barristan-Selmy,Barristan Selmy,14,143,21.26347816,5,0.007864678,0.401235517,Barristan Selmy,4,Barristan Selmy
Benjen-Stark,Benjen Stark,14,104,566.6133059,3,0.009955837,0.311353912,Benjen,6,Benjen
Beric-Dondarrion,Beric Dondarrion,6,28,185,4,0.004691442,0.170090683,Beric Dondarrion,0,
Boros-Blount,Boros Blount,5,26,0,4,0.003236101,0.140740319,Boros Blount,0,
Bowen-Marsh,Bowen Marsh,5,28,0,3,0.004081352,0.059608888,Bowen Marsh,6,
Bran-Stark,Bran Stark,32,531,960.0319136,0,0.019940544,0.655155569,Bran,1,Bran
Brandon-Stark,Brandon Stark,6,41,35.79090632,5,0.004485554,0.147843823,Brandon Stark,4,
Bronn,Bronn,10,109,70.96333627,6,0.007753349,0.151135375,Bronn,2,Bronn
Brynden-Tully,Brynden Tully,11,69,65.93546485,6,0.007472467,0.228960996,Brynden Tully,2,
Catelyn-Stark,Catelyn Stark,43,520,2604.755647,6,0.03018973,0.72391985,Catelyn,2,Catelyn
Cayn,Cayn,3,16,0.375,5,0.002444978,0.085265186,Cayn,4,
Cersei-Lannister,Cersei Lannister,30,424,454.8086339,5,0.017074604,0.715474295,Cersei,4,Cersei
Chella,Chella,1,5,0,6,0.001412257,0.03908757,Chella,2,
Chett,Chett,3,19,0,3,0.002826784,0.04169179,Chett,6,
Chiggen,Chiggen,3,16,0,6,0.002723756,0.05379597,Chiggen,2,
Clement-Piper,Clement Piper,1,4,0,6,0.001847852,0.001595797,Clement Piper,2,
Clydas,Clydas,1,5,0,3,0.001548677,0.004110988,Clydas,6,
Cohollo,Cohollo,4,29,0,1,0.00337537,0.024653153,Cohollo,3,
Colemon,Colemon,2,7,0,6,0.002093108,0.0429044,Colemon,2,
Conn,Conn,3,20,185,6,0.004154434,0.043348572,Conn,2,
Coratt,Coratt,1,5,0,6,0.001978404,0.002792338,Coratt,2,
Daenerys-Targaryen,Daenerys Targaryen,21,443,1484.278023,1,0.014701538,0.191335499,Daenerys,3,Daenerys
Danwell-Frey,Danwell Frey,3,9,368,2,0.004642682,0.008543334,Danwell Frey,5,
Dareon,Dareon,1,6,0,3,0.001418799,0.030817255,Dareon,6,
Daryn-Hornwood,Daryn Hornwood,2,6,0,5,0.00219372,0.055711557,Daryn Hornwood,4,
Desmond,Desmond,2,7,0,5,0.001880047,0.080502177,Desmond,4,
Dolf,Dolf,1,7,0,6,0.001860289,0.003540313,Dolf,2,
Donal-Noye,Donal Noye,1,7,0,3,0.001418799,0.030817255,Donal Noye,6,
Donnel-Waynwood,Donnel Waynwood,1,3,0,6,0.001398902,0.036930857,Donnel Waynwood,2,
Doreah,Doreah,6,51,0.2,1,0.004492763,0.037804043,Doreah,3,
Drogo,Drogo,19,256,1115.094639,1,0.014577571,0.108817772,Drogo,3,Drogo
Dywen,Dywen,1,4,0,3,0.001418799,0.030817255,Dywen,6,
Eddard-Stark,Eddard Stark,66,1284,4638.534951,5,0.045502132,1,Ned,4,Ned
Edmure-Tully,Edmure Tully,11,48,337.7871385,6,0.008035505,0.231555119,Edmure Tully,2,
Eon-Hunter,Eon Hunter,3,9,0,6,0.002676932,0.059403925,Eon Hunter,2,
Eroeh,Eroeh,1,5,0,1,0.001397264,0.011481902,Eroeh,3,
Fogo,Fogo,1,4,0,1,0.002025313,0.001273862,Fogo,3,
Galbart-Glover,Galbart Glover,6,23,14.97986615,0,0.004204865,0.140538125,Galbart Glover,1,
Gared,Gared,3,29,74.46689802,7,0.003704883,0.013615552,Gared,7,
Gendry,Gendry,1,3,0,5,0.001388061,0.050873836,Gendry,4,
Gerold-Hightower,Gerold Hightower,5,17,369,5,0.005480347,0.106962017,Gerold Hightower,4,
Gregor-Clegane,Gregor Clegane,12,74,50.30506215,4,0.007373591,0.336034409,Gregor,0,
Grenn,Grenn,7,85,3.483333333,3,0.005373848,0.066624414,Grenn,6,
Gunthor-son-of-Gurn,Gunthor son of Gurn,1,7,0,6,0.001412257,0.03908757,Gunthor,2,
Haggo,Haggo,6,45,1.166666667,1,0.004762147,0.029480799,Haggo,3,
Halder,Halder,8,56,3.616666667,3,0.006206189,0.061883418,Halder,6,
Hali,Hali,1,3,0,0,0.001331758,0.032922107,Hali,1,
Hallis-Mollen,Hallis Mollen,5,37,0,0,0.003530028,0.139936597,Hallis Mollen,1,
Harwin,Harwin,4,18,5.448326831,5,0.003092083,0.089481448,Harwin,4,
Harys-Swyft,Harys Swyft,1,3,0,6,0.001315018,0.032263719,Harys Swyft,2,
Heward,Heward,2,8,0,5,0.002004913,0.030073352,Heward,4,
High-Septon-(fat_one),High Septon (fat_one),2,8,0,4,0.001861394,0.086807102,High Septon,0,
Hobb,Hobb,1,5,0,3,0.001418799,0.030817255,Hobb,6,
Hodor,Hodor,4,52,0,0,0.00304618,0.089451266,Hodor,1,
Hosteen-Frey,Hosteen Frey,2,6,0,2,0.003689412,0.001934801,Hosteen Frey,5,
Hoster-Tully,Hoster Tully,5,24,6.726402657,6,0.003687974,0.123274699,Hoster Tully,2,
Howland-Reed,Howland Reed,1,3,0,5,0.001388061,0.050873836,Howland Reed,4,
