id,label,degree,weighted degree,pagerank,betweenness,modularity class,eigencentrality,top label
Aegon-I-Targaryen,Aegon I,5,17,0.004216533,545.2013243,4,0.064410787,
Harren-Hoare,Harren Hoare,3,16,0.002369592,29.1047619,4,0.04969538,
Nan,Nan,5,24,0.003528093,217.0476786,4,0.089732626,
Rhaenys-Targaryen,Rhaenys Targaryen,2,7,0.002253921,0,4,0.005532493,
Tyrion-Lannister,Tyrion,53,829,0.028080509,5149.448499,2,0.9276136,Tyrion
Visenya-Targaryen,Visenya Targaryen,2,6,0.002253921,0,4,0.005532493,
Aegon-V-Targaryen,Aegon V,1,3,0.001443598,0,0,0.003046717,
Aemon-Targaryen-(Maester-Aemon),Maester Aemon,6,34,0.006100825,768,0,0.031331392,Maester Aemon
Daeron-II-Targaryen,Daeron II,1,3,0.001443598,0,0,0.003046717,
Jeor-Mormont,Jeor,15,163,0.010813237,853.2272436,0,0.065953791,Jeor
Jon-Snow,Jon,28,360,0.018762812,5783.201673,0,0.298010616,Jon
Maekar-I-Targaryen,Maekar I,1,3,0.001443598,0,0,0.003046717,
Samwell-Tarly,Samwell,6,93,0.004644401,59.59086329,0,0.036389899,
Aenys-Frey,Aenys Frey,1,6,0.001052974,0,4,0.039207462,
Arya-Stark,Arya,40,424,0.022298572,6236.466682,4,0.668286874,Arya
Aeron-Greyjoy,Aeron Greyjoy,2,22,0.001832487,0,5,0.023131662,
Dagmer,Dagmer,5,23,0.003709497,12.11359789,5,0.046921896,
Theon-Greyjoy,Theon,32,294,0.023439787,4787.138781,5,0.292465774,Theon
Aerys-I-Targaryen,Aerys I,1,3,0.001025981,0,3,0.037209924,
Robert-Baratheon,Robert,26,214,0.013667883,5097.063633,3,0.657993643,Robert
Aerys-II-Targaryen,Aerys II,5,22,0.00295473,39.78581283,3,0.161739276,
Eddard-Stark,Ned,22,169,0.011279106,2224.713381,3,0.610368964,Ned
Jaime-Lannister,Jaime,21,154,0.010567327,1751.705162,2,0.595008357,Jaime
Rhaegar-Targaryen,Rhaegar,4,16,0.002893673,124.2390361,3,0.053530222,
Aggar,Aggar,4,13,0.00500677,822.6418487,5,0.010690455,
Gariss,Gariss,2,8,0.003345777,257,5,0.002290341,
Gelmarr,Gelmarr,1,3,0.001643842,0,5,0.001573059,
Gynir,Gynir,2,7,0.002353534,9.333333333,5,0.004466051,
Reek,Reek,4,7,0.001705298,0,5,0.031103132,
Aggo,Aggo,5,33,0.00399867,0.666666667,1,0.018428719,
Belwas,Belwas,5,20,0.003805617,19.35100733,1,0.026943303,
Daenerys-Targaryen,Daenerys,18,136,0.015463147,2747.584569,1,0.076982528,Daenerys
Jhogo,Jhogo,4,33,0.003250135,0,1,0.016829473,
Jorah-Mormont,Jorah,10,67,0.007218979,841.3877535,1,0.066033692,Jorah
Rakharo,Rakharo,3,11,0.002603081,0,1,0.01416716,
Alayaya,Alayaya,2,6,0.002382249,257,2,0.053559877,
Dancy,Dancy,1,3,0.001591565,0,2,0.003568111,
Alebelly,Alebelly,4,19,0.002937714,1.333333333,5,0.035225642,
Bran-Stark,Bran,30,486,0.018255593,3754.078244,5,0.36424365,Bran
Hayhead,Hayhead,2,9,0.00172072,0,5,0.026082072,
Jojen-Reed,Jojen,7,90,0.004152989,2.333333333,5,0.077317458,
Mikken,Mikken,5,25,0.003562318,22.63717949,5,0.056799702,
Alester-Florent,Alester Florent,4,15,0.002630536,0,3,0.094903413,
Cortnay-Penrose,Cortnay Penrose,7,39,0.004209991,77.35651761,3,0.177612767,
Davos-Seaworth,Davos,13,137,0.009227562,552.5928571,3,0.129162371,Davos
Renly-Baratheon,Renly,31,357,0.017003736,2376.871522,3,0.638056827,Renly
Stannis-Baratheon,Stannis,37,461,0.02048778,3962.234682,3,0.688980777,Stannis
Allar-Deem,Allar Deem,2,7,0.001468004,0,2,0.06771219,
Janos-Slynt,Janos Slynt,8,71,0.004127811,25.0387979,2,0.267541761,
Allard-Seaworth,Allard Seaworth,3,13,0.002825981,257,3,0.048908125,
