id,label,top label,degree,weighted degree,modularity class,eigencentrality,pagerank,betweenness
Tyrion-Lannister,Tyrion Lannister,Tyrion,60,785,0,1,0.023825376,7003.588496
Jon-Snow,Jon Snow,Jon,52,756,2,0.493522081,0.023599038,10173.23396
Robb-Stark,Robb Stark,Robb,49,486,1,0.669977716,0.023133562,7377.645034
Sansa-Stark,Sansa Stark,Sansa,49,538,0,0.830404442,0.020109584,4072.557187
Joffrey-Baratheon,Joffrey Baratheon,Joffrey,51,602,0,0.980876192,0.018796175,6449.081988
Jaime-Lannister,Jaime Lannister,Jaime,45,563,7,0.799038192,0.018873614,5658.236197
Catelyn-Stark,Catelyn Stark,Catelyn,38,325,1,0.603239348,0.01722407,3406.028952
Daenerys-Targaryen,Daenerys Targaryen,Daenerys,24,308,6,0.085934531,0.015263306,6203.646484
Arya-Stark,Arya Stark,Arya,37,442,5,0.694524713,0.014901255,4308.172296
Cersei-Lannister,Cersei Lannister,Cersei,38,363,0,0.776576805,0.014013484,1117.166334
Stannis-Baratheon,Stannis Baratheon,Stannis,31,299,3,0.497460226,0.013310783,4954.941125
Samwell-Tarly,Samwell Tarly,Samwell,30,413,2,0.248435935,0.012706614,2103.959619
Tywin-Lannister,Tywin Lannister,Tywin,29,258,0,0.614315403,0.011735983,1486.51494
Robert-Baratheon,Robert Baratheon,Robert,26,167,6,0.559077232,0.010489571,7564.655412
Mance-Rayder,Mance Rayder,Mance Rayder,22,252,2,0.215154483,0.009997429,1431.07779
Davos-Seaworth,Davos Seaworth,Davos,17,239,3,0.137292625,0.008777235,1289.261331
Gregor-Clegane,Gregor Clegane,Gregor,22,195,0,0.516886753,0.008522792,1497.954912
Jeor-Mormont,Jeor Mormont,Jeor,18,120,2,0.185920254,0.008253957,2166.573361
Bran-Stark,Bran Stark,Bran,18,314,8,0.331430064,0.007590989,1823.42802
Sandor-Clegane,Sandor Clegane,Sandor,21,207,5,0.467909077,0.007635012,448.6999392
Aemon-Targaryen-(Maester-Aemon),Maester Aemon,Maester Aemon,18,154,2,0.211568098,0.007513934,919.1316812
Petyr-Baelish,Petyr Baelish,Littlefinger,15,128,0,0.316812962,0.007393265,1055.799333
Jorah-Mormont,Jorah Mormont,Jorah,12,136,6,0.036862187,0.007198231,216.6459599
Oberyn-Martell,Oberyn Martell,Oberyn,16,167,0,0.376348903,0.006804738,502.9578639
Roose-Bolton,Roose Bolton,Roose Bolton,15,98,7,0.31927796,0.006616895,399.7998295
Varys,Varys,Varys,16,99,0,0.395118078,0.00656734,438.368454
Lem,Lem,Lem,15,155,5,0.173526894,0.006519823,759.7263277
Eddard-Stark,Eddard Stark,Ned,16,94,1,0.48982797,0.006510346,889.9632913
Craster,Craster,Craster,13,100,2,0.111735927,0.006272593,524.6443102
Lysa-Arryn,Lysa Arryn,Lysa,14,132,0,0.324270656,0.006062826,568.360207
Brienne-of-Tarth,Brienne of Tarth,Brienne,14,161,7,0.333587982,0.005978138,284.5119525
Eddison-Tollett,Eddison Tollett,,13,68,2,0.09921049,0.005714211,332.5173961
Edmure-Tully,Edmure Tully,,13,119,1,0.219452136,0.005632,94.59119367
Walder-Frey,Walder Frey,,12,106,1,0.172990476,0.005519083,225.6002543
Meryn-Trant,Meryn Trant,,15,95,0,0.424237866,0.005396658,53.7901397
Lothar-Frey,Lothar Frey,,11,50,1,0.142307758,0.005249195,79.36974488
Tommen-Baratheon,Tommen Baratheon,,13,82,0,0.36837085,0.005159037,137.7956372
Arstan,Arstan,,8,90,6,0.024898171,0.005120512,222.5934915
Grenn,Grenn,,12,149,2,0.118390119,0.005115363,128.6356657
Loras-Tyrell,Loras Tyrell,,13,113,0,0.312428221,0.005093278,45.50380187
Pypar,Pypar,,12,105,2,0.123860607,0.004942858,73.9963167
Ygritte,Ygritte,,10,124,2,0.082516358,0.004897829,19.05793651
Daario-Naharis,Daario Naharis,,7,41,6,0.018804956,0.00488415,601.3333333
Mace-Tyrell,Mace Tyrell,,12,89,0,0.32019824,0.004892554,239.9470345
Qhorin-Halfhand,Qhorin Halfhand,,10,66,2,0.103713287,0.004814793,347.3039236
Gendry,Gendry,,11,129,5,0.146627181,0.004799066,402.0143167
Rattleshirt,Rattleshirt,,10,86,2,0.083497439,0.004789541,160.9720828
Bronn,Bronn,,12,88,0,0.295050151,0.004796509,52.50134694
Kevan-Lannister,Kevan Lannister,,11,71,0,0.294126568,0.004727699,193.6147501
Jon-Umber-(Greatjon),Jon Umber (Greatjon),,9,52,1,0.120046176,0.004712999,259.5277167
Belwas,Belwas,,7,94,6,0.020304358,0.00459907,102.0244572
Tormund,Tormund,,9,81,2,0.078924319,0.004576507,312.4325044
Shireen-Baratheon,Shireen Baratheon,,8,31,3,0.119363829,0.004549344,624.3025029
Rhaegar-Targaryen,Rhaegar Targaryen,,8,53,6,0.065635367,0.00453103,682.2927071
Janos-Slynt,Janos Slynt,,11,76,2,0.1848983,0.004511083,492.3895505
Beric-Dondarrion,Beric Dondarrion,,11,107,5,0.191210532,0.004501386,232.7248677
Aerys-II-Targaryen,Aerys II Targaryen,,9,68,7,0.240618557,0.004416917,1065.006236
Margaery-Tyrell,Margaery Tyrell,,11,132,0,0.286497414,0.004401794,120.1278645
Owen,Owen,,10,47,2,0.112369591,0.004280999,216.8585376
Melisandre,Melisandre,,9,121,3,0.15234782,0.00421253,409.6662331
Bowen-Marsh,Bowen Marsh,,10,57,2,0.10686884,0.004186959,50.39653117
Axell-Florent,Axell Florent,,8,66,3,0.06344917,0.004022054,125.9020551
Polliver,Polliver,,11,101,0,0.307936054,0.004010099,11.72643453
Ilyn-Payne,Ilyn Payne,,11,67,0,0.316533723,0.003998168,7.523081939
Harma,Harma,,8,39,2,0.071329989,0.00397345,147.7525204
Shae,Shae,,9,64,0,0.232699844,0.003959912,74.41312738
Addam-Marbrand,Addam Marbrand,,8,29,0,0.207779992,0.003939835,603.2657901
Anguy,Anguy,,9,81,5,0.105137394,0.003907168,146.0199907
Jarl,Jarl,,8,68,2,0.073307317,0.003897146,6.666666667
Tom-of-Sevenstreams,Tom of Sevenstreams,,9,85,5,0.091419961,0.003878623,62.11587466
Styr,Styr,,8,99,2,0.075093779,0.003870273,5.833333333
Gilly,Gilly,,8,77,2,0.081533312,0.003858739,98.82070449
Elmar-Frey,Elmar Frey,,9,45,1,0.242065842,0.003821347,22.22971167
Thoros-of-Myr,Thoros of Myr,,9,98,5,0.172696224,0.003812325,221.9028315
Irri,Irri,,6,45,6,0.019713914,0.003795474,2.666666667
Satin,Satin,,8,63,2,0.064896519,0.003781879,6.297691198
Arthur-Dayne,Arthur Dayne,,5,20,7,0.023279608,0.003778397,800.0368775
Cotter-Pyke,Cotter Pyke,,9,50,2,0.120888732,0.003757222,119.7201393
Jhiqui,Jhiqui,,6,48,6,0.020612746,0.003743298,2
Hoster-Tully,Hoster Tully,,8,55,1,0.16057739,0.003710766,68.24039956
Donal-Noye,Donal Noye,,8,68,2,0.114607574,0.003682334,59.39981541
Tickler,Tickler,,10,90,0,0.265639902,0.003653413,0
Dunsen,Dunsen,,10,73,0,0.265639902,0.003653413,0
Rafford,Rafford,,10,78,0,0.265639902,0.003653413,0
Renly-Baratheon,Renly Baratheon,,9,62,0,0.304229003,0.003599811,34.81359551
Lewyn-Martell,Lewyn Martell,,4,12,7,0.007281025,0.003581906,600
Viserys-Targaryen,Viserys Targaryen,,7,35,6,0.130100928,0.003582627,739.4268246
Dontos-Hollard,Dontos Hollard,,7,43,0,0.184043282,0.003562424,329.8987632
Robett-Glover,Robett Glover,,3,10,9,0.003761102,0.003548024,301
Rorge,Rorge,,5,24,7,0.053318262,0.003516168,415.1164786
Elia-Martell,Elia Martell,,7,40,0,0.190188898,0.00345813,412.1184677
Othell-Yarwyck,Othell Yarwyck,,8,40,2,0.063663868,0.003395175,6.338684479
Willas-Tyrell,Willas Tyrell,,8,34,0,0.207384935,0.003382422,6.259462759
Olenna-Redwyne,Olenna Redwyne,,8,39,0,0.243293762,0.003359746,38.60586731
Denys-Mallister,Denys Mallister,,8,51,2,0.076041549,0.00335359,4.594363794
