id,label,degree,weighted degree,betweenness,modularity class,pagerank,eigencentrality,label long
Addam-Marbrand,Addam Marbrand,4,18,64.777775,5,0.001414823,0.122861279,Addam Marbrand
Brynden-Tully,Brynden Tully,9,63,25.25457071,5,0.002948877,0.109225806,Brynden Tully
Cersei-Lannister,Cersei,66,930,29730.8424,5,0.019680033,1,Cersei Lannister
Jaime-Lannister,Jaime,67,611,17146.42257,5,0.022755351,0.797331919,Jaime Lannister
Lyle-Crakehall,Lyle Crakehall,5,27,2.698412698,5,0.001751545,0.079589542,Lyle Crakehall
Aegon-Targaryen-(son-of-Rhaegar),Aegon (son of Rhaegar),15,133,1412.033564,7,0.00485127,0.199036797,Aegon Targaryen (son of Rhaegar)
Rhaegar-Targaryen,Rhaegar Targaryen,10,80,1513.881234,7,0.003351276,0.242086191,Rhaegar Targaryen
Aegon-V-Targaryen,Aegon V Targaryen,1,3,0,0,6.21E-04,0.008417018,Aegon V Targaryen
Aemon-Targaryen-(Maester-Aemon),Aemon Targaryen (Maester Aemon),8,133,2133.20583,0,0.003053068,0.119365903,Aemon Targaryen (Maester Aemon)
Alleras,Alleras,8,48,2671.366922,3,0.003262074,0.032514241,Alleras
Clydas,Clydas,6,45,99.59266765,0,0.002184304,0.112623763,Clydas
Dareon,Dareon,5,47,661.5254191,0,0.002170322,0.044245733,Dareon
Gilly,Gilly,10,139,259.976089,0,0.003520384,0.107809254,Gilly
Jon-Snow,Jon,65,857,25607.95928,0,0.023543662,0.517079,Jon Snow
Samwell-Tarly,Samwell,20,280,6658.492389,0,0.007431664,0.160112183,Samwell Tarly
Aeron-Greyjoy,Aeron,14,129,3007.828548,1,0.006582378,0.07074834,Aeron Greyjoy
Asha-Greyjoy,Asha,23,188,10652.44503,1,0.009426038,0.182399004,Asha Greyjoy
Baelor-Blacktyde,Baelor Blacktyde,4,15,0,1,0.001801464,0.028759285,Baelor Blacktyde
Balon-Greyjoy,Balon Greyjoy,7,75,1638.745306,1,0.002789112,0.103792934,Balon Greyjoy
Dunstan-Drumm,Dunstan Drumm,3,10,2.426190476,1,0.001462652,0.01955624,Dunstan Drumm
Emmond,Emmond,1,4,0,1,6.96E-04,0.006410334,Emmond
Euron-Greyjoy,Euron,12,154,1021.905046,1,0.005297857,0.054972935,Euron Greyjoy
Gormond-Goodbrother,Gormond Goodbrother,1,6,0,1,6.96E-04,0.006410334,Gormond Goodbrother
Gorold-Goodbrother,Gorold Goodbrother,2,13,0,1,0.00108747,0.015899132,Gorold Goodbrother
Greydon-Goodbrother,Greydon Goodbrother,1,4,0,1,6.96E-04,0.006410334,Greydon Goodbrother
Meldred-Merlyn,Meldred Merlyn,2,10,0,1,0.00108747,0.015899132,Meldred Merlyn
Murenmure,Murenmure,2,14,0,1,0.001010351,0.025540771,Murenmure
Rus,Rus,1,5,0,1,6.96E-04,0.006410334,Rus
Theon-Greyjoy,Theon,35,319,10548.09853,2,0.012938802,0.262103638,Theon Greyjoy
Victarion-Greyjoy,Victarion,23,208,8159.854663,1,0.010588985,0.1086329,Victarion Greyjoy
Aerys-II-Targaryen,Aerys II Targaryen,9,57,1744.951644,7,0.003468789,0.207262024,Aerys II Targaryen
Barristan-Selmy,Barristan,26,274,3890.245514,9,0.007962686,0.270432705,Barristan Selmy
Denys-Darklyn,Denys Darklyn,1,4,0,7,6.24E-04,0.012768514,Denys Darklyn
Elbert-Arryn,Elbert Arryn,1,3,0,7,6.24E-04,0.012768514,Elbert Arryn
Owen-Merryweather,Owen Merryweather,1,3,0,7,6.24E-04,0.012768514,Owen Merryweather
Robert-Baratheon,Robert,21,166,8093.65632,5,0.006092708,0.513060954,Robert Baratheon
Tywin-Lannister,Tywin,20,140,3602.385479,7,0.005815564,0.491362247,Tywin Lannister
Alla-Tyrell,Alla Tyrell,4,28,15.80872926,5,0.001411691,0.047067524,Alla Tyrell
Elinor-Tyrell,Elinor Tyrell,4,26,2.25,5,0.001452889,0.03936239,Elinor Tyrell
Margaery-Tyrell,Margaery,25,280,2087.669349,5,0.007067228,0.441388328,Margaery Tyrell
Megga-Tyrell,Megga Tyrell,3,29,0,5,0.001145425,0.032993722,Megga Tyrell
Osney-Kettleblack,Osney Kettleblack,11,78,421.3690044,5,0.003128152,0.24768303,Osney Kettleblack
Armen,Armen,6,23,5.333333333,3,0.002600072,0.01350658,Armen
Leo-Tyrell,Leo Tyrell,5,24,1169.296884,3,0.002152108,0.021343715,Leo Tyrell
Marwyn,Marwyn,3,12,127.919527,3,0.001327278,0.017513906,Marwyn
Mollander,Mollander,4,20,1.25,3,0.001836253,0.009421921,Mollander
Pate-(novice),Pate (novice),7,47,2009.25,3,0.003698988,0.012523865,Pate (novice)
Roone,Roone,4,20,0.25,3,0.001767527,0.009776566,Roone
Alys-Arryn,Alys Arryn,2,7,504,8,0.001338126,0.009056363,Alys Arryn
Elys-Waynwood,Elys Waynwood,1,4,0,8,8.65E-04,0.001283502,Elys Waynwood
Jon-Arryn,Jon Arryn,6,19,1202.135858,8,0.00216227,0.130776804,Jon Arryn
Amerei-Frey,Amerei Frey,3,20,0.666666667,5,0.00115904,0.064845896,Amerei Frey
Lancel-Lannister,Lancel Lannister,6,81,63.1726119,5,0.001949438,0.162098882,Lancel Lannister
Anders-Yronwood,Anders Yronwood,1,4,0,9,5.85E-04,0.011964734,Anders Yronwood
Quentyn-Martell,Quentyn,19,246,2830.914423,9,0.006451269,0.160603168,Quentyn Martell
Andrey-Dalt,Andrey Dalt,5,37,26.43836657,4,0.001687878,0.038670539,Andrey Dalt
Arianne-Martell,Arianne,20,189,3794.644121,4,0.006956528,0.107816693,Arianne Martell
Garin-(orphan),Garin (orphan),9,63,193.340603,4,0.002909702,0.0504352,Garin (orphan)
Myrcella-Baratheon,Myrcella,15,123,4923.704961,4,0.004361872,0.276715683,Myrcella Baratheon
Sylva-Santagar,Sylva Santagar,5,33,26.43836657,4,0.001687878,0.038670539,Sylva Santagar
Tyene-Sand,Tyene Sand,9,57,533.8811674,4,0.003037792,0.049407825,Tyene Sand
Anya-Waynwood,Anya Waynwood,7,44,148.1030078,8,0.00234522,0.034032044,Anya Waynwood
Benedar-Belmore,Benedar Belmore,5,21,96.23778256,8,0.001734656,0.027413215,Benedar Belmore
Gilwood-Hunter,Gilwood Hunter,5,22,19.44472265,8,0.001754338,0.017571672,Gilwood Hunter
Harrold-Hardyng,Harrold Hardyng,3,13,2.116666667,8,0.001147733,0.015810452,Harrold Hardyng
Horton-Redfort,Horton Redfort,4,21,0.583333333,8,0.001449595,0.013562269,Horton Redfort
Petyr-Baelish,Littlefinger,20,155,4599.465303,8,0.006048467,0.265769599,Petyr Baelish
Symond-Templeton,Symond Templeton,5,23,35.11627497,8,0.001706649,0.030675425,Symond Templeton
Yohn-Royce,Yohn Royce,8,37,697.0773144,8,0.002590781,0.068133034,Yohn Royce
Areo-Hotah,Areo Hotah,9,118,79.59023142,4,0.002759186,0.074115843,Areo Hotah
Arys-Oakheart,Arys Oakheart,6,60,12.77494034,4,0.001900845,0.057561334,Arys Oakheart
Caleotte,Caleotte,4,27,13.43678598,4,0.001323653,0.043236722,Caleotte
Doran-Martell,Doran,19,175,5168.969111,4,0.005554352,0.263883354,Doran Martell
Obara-Sand,Obara Sand,6,68,7.860822511,4,0.001963568,0.042578461,Obara Sand
Oberyn-Martell,Oberyn Martell,6,25,65.74102948,4,0.001978746,0.05488364,Oberyn Martell
Cedra,Cedra,2,13,0,4,8.67E-04,0.013390352,Cedra
Franklyn-Fowler,Franklyn Fowler,1,3,0,4,5.92E-04,0.008887962,Franklyn Fowler
Gerold-Dayne,Gerold Dayne,5,34,8.592633184,4,0.001633775,0.046991424,Gerold Dayne
Mellei,Mellei,2,8,0,4,0.001029705,0.010369474,Mellei
Morra,Morra,2,8,0,4,0.001029705,0.010369474,Morra
Ricasso,Ricasso,2,7,504,4,0.001321412,0.009681268,Ricasso
Timoth,Timoth,1,3,0,4,5.92E-04,0.008887962,Timoth
Arya-Stark,Arya,24,164,8653.012225,2,0.010412,0.208366732,Arya Stark
Bellegere-Otherys,Bellegere Otherys,1,3,0,2,6.65E-04,0.014987117,Bellegere Otherys
Brea,Brea,3,15,0.5,2,0.001621098,0.01866383,Brea
Brusco,Brusco,2,16,0,2,0.001124544,0.017016109,Brusco
Denyo-Terys,Denyo Terys,2,11,0,2,0.001156921,0.016807817,Denyo Terys
Kindly-Man,Kindly Man,2,30,0,2,0.001156921,0.016807817,Kindly Man
Meralyn,Meralyn,1,9,0,2,6.65E-04,0.014987117,Meralyn
Nan,Nan,2,8,504,2,0.001435972,0.015795059,Nan
Sandor-Clegane,Sandor Clegane,12,56,2097.644812,8,0.004000166,0.226562259,Sandor Clegane
Sansa-Stark,Sansa,26,157,10688.02288,8,0.007840778,0.468395777,Sansa Stark
Syrio-Forel,Syrio Forel,1,4,0,2,6.65E-04,0.014987117,Syrio Forel
Talea,Talea,2,8,0,2,0.001124544,0.017016109,Talea
Ternesio-Terys,Ternesio Terys,2,8,0,2,0.001156921,0.016807817,Ternesio Terys
Umma,Umma,1,6,0,2,6.65E-04,0.014987117,Umma
Waif,Waif,2,33,0,2,0.001156921,0.016807817,Waif
Yorko-Terys,Yorko Terys,1,6,0,2,6.65E-04,0.014987117,Yorko Terys
Red-Oarsman,Red Oarsman,3,12,1006,1,0.001706964,0.019711958,Red Oarsman
Rodrik-Harlaw,Rodrik Harlaw,7,30,551.1391479,1,0.003089524,0.036313101,Rodrik Harlaw
Tristifer-Botley,Tristifer Botley,3,24,0,1,0.001466721,0.018086071,Tristifer Botley
Aurane-Waters,Aurane Waters,9,37,393.652086,5,0.002632772,0.226174954,Aurane Waters
Gyles-Rosby,Gyles Rosby,8,55,6.897893773,5,0.002246097,0.198524776,Gyles Rosby
